sample_dir,prompt_label,prompt_tokens,layer,kind,rank,token_index,energy
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,9,2884,3.209291696548462
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,key,10,2788,3.209010124206543
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,1,105,0.3008570075035095
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,2,113,0.29722386598587036
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,3,65,0.2971397936344147
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,4,153,0.2961387634277344
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,5,109,0.2957227826118469
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,6,93,0.2953573763370514
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,7,141,0.2946526110172272
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,8,100,0.29442885518074036
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,9,157,0.2940475642681122
data/cache_samples/long_3095tok_20260427_233303,long,3095,5,value,10,126,0.29365241527557373
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,1,2792,3.4282901287078857
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,2,2696,3.42518949508667
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,3,3032,3.421812057495117
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,4,2984,3.4206044673919678
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,5,2504,3.417738914489746
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,6,2552,3.4165759086608887
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,7,2499,3.416386127471924
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,8,2840,3.4139769077301025
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,9,2888,3.413539171218872
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,key,10,3080,3.412268877029419
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,1,82,0.3547614514827728
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,2,79,0.3438110649585724
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,3,91,0.34197214245796204
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,4,2205,0.3416139781475067
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,5,2301,0.34116774797439575
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,6,130,0.3408353328704834
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,7,2493,0.3404790759086609
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,8,94,0.3404461443424225
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,9,190,0.3395043611526489
data/cache_samples/long_3095tok_20260427_233303,long,3095,6,value,10,2973,0.33819514513015747
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,1,2457,2.9617443084716797
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,2,2497,2.9613823890686035
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,3,1641,2.9579732418060303
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,4,2553,2.957653522491455
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,5,2841,2.9576423168182373
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,6,1737,2.953681468963623
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,7,1449,2.9517931938171387
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,8,2793,2.9517009258270264
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,9,2409,2.950309991836548
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,key,10,2697,2.9495134353637695
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,1,117,0.4185539186000824
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,2,83,0.41592639684677124
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,3,165,0.4144296646118164
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,4,213,0.3987616002559662
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,5,261,0.39176586270332336
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,6,214,0.3812990188598633
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,7,309,0.38055068254470825
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,8,357,0.37856799364089966
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,9,358,0.3784509599208832
data/cache_samples/long_3095tok_20260427_233303,long,3095,7,value,10,131,0.37720543146133423
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,1,2497,3.4121408462524414
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,2,1633,3.407897472381592
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,3,2980,3.4038491249084473
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,4,2785,3.4018614292144775
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,5,2305,3.3972280025482178
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,6,1636,3.397095203399658
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,7,2977,3.3964083194732666
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,8,3025,3.39621639251709
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,9,2449,3.3959708213806152
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,key,10,2689,3.3959243297576904
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,1,82,0.3597881495952606
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,2,118,0.3585991859436035
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,3,161,0.3539991080760956
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,4,113,0.35126200318336487
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,5,117,0.34595414996147156
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,6,65,0.34510189294815063
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,7,264,0.3433528244495392
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,8,165,0.3419404625892639
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,9,66,0.3415462374687195
data/cache_samples/long_3095tok_20260427_233303,long,3095,8,value,10,216,0.3404211103916168
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,1,1973,3.151167869567871
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,2,3032,3.150360584259033
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,3,2069,3.149622917175293
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,4,3029,3.148728609085083
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,5,2933,3.1480090618133545
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,6,2165,3.1461362838745117
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,7,1493,3.144705057144165
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,8,1877,3.143245220184326
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,9,2453,3.1432383060455322
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,key,10,2981,3.142043113708496
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,1,108,0.3415188491344452
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,2,156,0.3315087854862213
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,3,76,0.32779327034950256
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,4,204,0.32401910424232483
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,5,115,0.3220065236091614
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,6,81,0.3196585476398468
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,7,128,0.31789419054985046
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,8,82,0.31672364473342896
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,9,79,0.31662043929100037
data/cache_samples/long_3095tok_20260427_233303,long,3095,9,value,10,88,0.3165530562400818
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,1,2836,3.0650570392608643
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,2,2596,3.063941240310669
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,3,3076,3.0636544227600098
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,4,2068,3.051607608795166
data/cache_samples/long_3095tok_20260427_233303,long,3095,10,key,5,2980,3.046109914779663
